Angle;Sexe
8.5;H
9;H
9.3;H
10;H
12;H
12.2;H
14;H
9;H
8.5;H
9.2;H
9.7;H
13;F
13.5;F
12;F
14.5;F
12;F
12.5;F
12.2;F
10.8;F
12.7;F
12.2;F
13;F
11.5;F
