L;a;b;Poids;Diam;Malate;Glucose;Fructose;Maturite
409;72.81;-0.48;45.42;0.0545;0.043162;10.07;3.17;0.95;3
410;69.05;7.3;45.14;0.0443;0.041787;10.99;4.86;1.6;3
411;72.31;1.76;42.1;0.0529;0.043562;10.75;3.55;0.95;3
412;69.91;3.39;42.29;0.0575;0.044725;11.62;3.22;0.87;3
413;69.14;6.87;45.85;0.063;0.045663;8.28;4.33;1.13;3
414;71.36;3.17;45.1;0.049;0.043425;9.63;3.9;0.9;3
415;72.34;4.05;46.01;0.0547;0.043987;9.19;4.25;1.15;3
416;69.83;5.07;43.66;0.042;0.041363;9.14;3.11;0.7;3
417;73.37;1.04;45.03;0.0489;0.042787;10.07;3.5;0.77;3
418;73.81;4;45.44;0.045;0.0412;9.61;3.12;0.8;3
419;70.14;4.64;40.78;0.0563;0.0456;8;4.22;1.04;3
420;70.25;5.36;44.19;0.0494;0.043225;11.02;2.93;0.79;3
421;73.6;6.14;43.98;0.0395;0.03915;8.25;3.66;1;3
422;70.92;6.98;47.35;0.0621;0.044988;8.24;3.46;0.92;3
423;69.26;1.21;40.11;0.0542;0.0444;13.9;3.58;1.1;3
424;69.03;2.63;40.94;0.0466;0.042487;13.08;4.61;0.59;3
425;68.03;5.03;41.58;0.0578;0.045687;10.96;4.07;1.42;3
426;70.58;-0.75;38.9;0.0468;0.043575;12.54;3.2;0.85;3
427;70.06;3.63;43.58;0.0648;0.045913;13.02;3.46;1.03;3
428;72.76;3.15;42.87;0.0546;0.045238;10.24;3.6;1.02;3
429;72.26;0.43;39.8;0.0549;0.04425;11.42;3.73;1.1;3
430;71.33;2.18;43.82;0.0517;0.044062;11.33;3.47;1.02;3
431;74.67;-0.09;40.07;0.0605;0.0473;8.49;4.34;1.25;3
432;67.79;9.47;43.04;0.0551;0.0437;9.61;4.52;1.77;3
433;70.24;5.68;42.86;0.0473;0.0438;6.91;5.1;1.72;3
434;70.12;2.26;40.39;0.0594;0.045038;12.41;3.41;1.06;3
435;73.54;3.31;45.64;0.0518;0.042525;12.24;3.48;1.14;3
