Juge;Produit;Seance;Odeur de cacao;Odeur de lait;Saveur sucree;Saveur acide;Saveur amere;Arome de cacao;Arome de lait;Arome de caramel;Arome de vanille;Astringence;Croquant;Fondant;Collant;Granuleux
8;Repere_85;1;8;3;3;6;8;6;2;2;1;7;9;1;2;9
8;Lindt_78;1;8;3;3;5;9;7;3;4;2;6;4;8;6;3
8;Lindt_70;1;8;2;3;4;8;10;3;3;2;5;8;4;4;7
8;Nestle_80;1;7;3;4;6;8;4;4;7;6;6;4;4;5;2
9;Repere_72;1;7;7;7;6;8;8;4;2;3;7;7;6;6;2
9;Ethiquable_70;1;8;2;6;9;8;8;1;4;4;7;6;7;5;2
9;Ethiquable_75;1;8;6;6;5;7;8;4;2;1;7;7;8;5;2
9;Lindt_78;1;5;2;6;7;9;8;1;1;1;9;7;6;5;5
9;Nestle_70;1;7;5;8;10;5;6;4;2;2;7;6;8;8;2
9;Nestle_80;1;7;6;6;9;9;8;3;1;3;7;3;9;4;2
9;Lindt_85;1;7;6;3;10;10;8;2;1;2;9;8;4;3;5
9;Lindt_70;1;8;5;9;6;5;7;6;2;4;5;6;8;5;2
9;Repere_85;1;7;4;7;5;6;10;2;2;3;6;7;6;5;2
10;Repere_85;1;9;2;4;7;7;9;1;4;2;5;10;6;2;3
10;Lindt_85;1;8;2;3;6;9;8;3;3;1;7;6;7;7;5
10;Lindt_70;1;8;3;8;2;1;7;3;4;5;3;6;7;4;1
10;Nestle_70;1;5;2;8;5;4;9;7;6;6;3;4;9;8;3
10;Nestle_80;1;6;2;5;9;3;10;3;4;2;6;7;7;6;2
10;Ethiquable_75;1;3;6;2;5;4;6;8;1;10;4;4;8;9;2
10;Lindt_78;1;7;6;4;3;7;9;7;1;1;9;7;2;7;6
10;Repere_72;1;4;5;2;1;4;4;6;7;10;6;9;3;8;6
10;Ethiquable_70;1;8;3;6;1;1;8;7;5;2;3;10;4;5;2
11;Nestle_80;1;3;5;3;3;7;5;4;1;1;4;6;4;4;2
