Annees;empreinte ges
1990;12,1
1991;12,0
1992;11,8
1993;11,0
1994;10,8
1995;11,1
1996;11,2
1997;10,7
1998;11,7
1999;11,6
2000;11,4
2001;11,4
2002;11,4
2003;11,9
2004;12,3
2005;12,4
2006;12,5
2007;12,7
2008;12,7
2009;11,6
2010;11,6
2011;11,4
2012;10,9
2013;10,7
2014;10,2
2015;9,8
2016;9,7
2017;9,8
2018;9,7
2019;9,5
2020;8,6
2021;9,1
2022;9,1
2023;8,5
2024;8,2
