"Foret";"Age";"Diametre";"Hauteur";"Volume"
"StJust";"34";77;17.3;3.778
"StJust";"34";72;24.7;5.536
"StJust";"34";63;22.8;3.67
"StJust";"34";39;15.7;0.764
"StJust";"34";73;22.7;4.964
"StJust";"34";40;18;1.011
"StJust";"34";56;21;2.336
"StJust";"34";33;15;0.48
"StJust";"34";66;20.5;3.742
"StJust";"34";48;20.3;1.729
"StJust";"34";63;22.1;3.799
"StJust";"34";59;17;2.752
"StJust";"34";34;16.3;0.688
"StJust";"34";78;18;3.447
"StJust";"34";71;25;4.79
"StJust";"34";68;19.5;3.334
"StJust";"34";69;19.3;3.39
"StJust";"34";67;22.7;3.358
"StJust";"34";61;18.2;2.698
"StJust";"34";76;20.1;3.941
"StJust";"34";49;17.7;1.75
"StJust";"34";60;18.8;2.752
"StJust";"34";49;19.4;1.856
"StJust";"34";48;21.6;1.956
"StJust";"34";39;17.2;0.995
"StJust";"34";50;22.5;2.472
"StJust";"34";54;21.2;2.56
"StJust";"34";20;5.6;0.084
"StJust";"34";40;17.75;0.921
"StJust";"34";75;20.7;4.049
"StJust";"34";40;17.2;1.166
"StJust";"34";71;19.2;3.411
"StJust";"34";70;19.75;3.673
"StJust";"34";61;18.7;2.533
"StJust";"34";73;20.5;4.092
"StJust";"34";78;18.5;4.197
"StJust";"34";58;17.7;2.428
"StJust";"34";72;22;4.73
"StJust";"34";93;18.6;5.256
"StJust";"34";97;20;5.538
"StJust";"34";99;21;6.289
"StJust";"34";100;19;6.606
"StJust";"34";107;25;9.815
