Sonde;Sol;P205
1;1;43
1;1;45
1;1;46
1;1;53
1;2;40
1;2;40
1;2;40
1;2;43
2;1;41
2;1;42
2;1;43
2;1;44
2;2;35
2;2;37
2;2;40
2;2;40
3;1;42
3;1;44
3;1;46
3;1;48
3;2;37
3;2;39
3;2;40
3;2;40
