Variete;Ecartement;Parcelle;Rendement
I;4;1;51
I;8;1;60
I;12;1;64
II;4;1;64
II;8;1;60
II;12;1;58
III;4;1;64
III;8;1;62
III;12;1;71
I;4;2;47
I;8;2;50
I;12;2;55
II;4;2;58
II;8;2;58
II;12;2;58
III;4;2;65
III;8;2;68
III;12;2;75
I;4;3;47
I;8;3;45
I;12;3;48
II;4;3;57
II;8;3;56
II;12;3;53
III;4;3;54
III;8;3;67
III;12;3;75
I;4;4;50
I;8;4;48
I;12;4;48
II;4;4;61
II;8;4;60
II;12;4;60
III;4;4;57
III;8;4;60
III;12;4;63
