position;COD_p90;distance_source;alti;taille_cours_d_eau;region;debit_p10;debit_moy;debit_p90;carb_urb;carb_ind;carb_elev;carb_sols;sup_bv;foret;prairie;culture;urbain;divers;d_pop;d_betail;Ptot_p90;NO3_p90;DBO_p90;NH4_p90;MES_p90;conduct._p90
Amont;7,20005641;19983,5;13,70100021;tres petit;massif_armoricain;0,22266957;0,7987292;1,6578318;55,1554718;0;118,7129974;391,8696899;54;0,014500001;0,430796266;0,513148129;1,85E-05;0,041666668;68,35185242;117,2474136;0,102293333;21,55719048;1,968142857;0,08686;28,68466667;376,3185714
Amont;5,168733333;39992,1;24,58499908;petit;massif_armoricain;0,3195321;1,7612278;3,8964405;74,00337982;0;518,9348755;740,7973633;134;0,019686567;0,700813472;0,276858211;0,001335821;0,001373135;37,57462692;206,541275;0,1008;20,42266667;1,88447619;0,063162857;42,01266667;234,86
Amont;4,7012;43654,9;50,11199951;petit;massif_armoricain;0,7030226;3,0777423;6,9073052;124,6914902;12,79621601;694,2631226;1568,424194;224;0,07542856;0,524138391;0,363218725;0,013325892;0,023986608;49,4642868;165,300745;0,112436667;19,38395238;2,001;0,057451429;35,3392381;213,255
Amont;4,229133333;30255,3;23,94199944;tres petit;massif_armoricain;0,38130078;1,8726397;4,1132984;79,06330109;2,366250038;336,6298523;913,098999;115,75;0,039049678;0,618038833;0,315706283;0,012829374;0,014514038;41,8488121;155,1065979;0,074033333;22,29333333;1,662307692;0,048614286;40,76133333;235,6253725
Amont;6,505272727;3243,8;31,8010006;tres petit;massif_armoricain;0,026361054;0,12522462;0,283011;2,269474268;0;17,8794384;49,84470367;7,5;0,031600002;0,654133379;0,297066689;0,0088;0,0088;114,9333344;127,142662;0,097711888;20,7380303;1,719230769;0,065276923;80,588;309,0846154
Amont;4,250307692;19204,6;9,357999802;petit;massif_armoricain;0,24581303;1,0330439;2,4687922;27,95472908;0;214,8181915;558,5796509;73,75;0,063877963;0,414888114;0,483335644;0,017098306;0,020976273;86,21016693;155,3487377;0,118541905;25,07374359;1,711318681;0,079592949;46,02428571;277,1384615
Amont;3,753533333;6092,3;187,5180054;tres petit;massif_armoricain;0,060179494;0,19121014;0,3786045;0;0;30,18768883;59,15056992;8;0;0,718249977;0,281749994;0;0;0;201,2512703;0,061454286;29,884;1,906;0,068944286;28,69266667;160,6896667
Amont;5,688215385;10842,5;45,77000046;tres petit;massif_armoricain;0,16354668;0,5129618;1,0126803;5,175053596;0;63,52931213;229,2759094;26;0,183423102;0,59107691;0,207230791;0,009153846;0,009307692;19,19230843;130,3165436;0,091857619;19,25357143;1,506923077;0,045230769;25,92646154;137,6775385
Amont;5,7768;15835,3;94,89600372;tres petit;massif_armoricain;0,109252095;0,47950625;0,99039817;45,15591431;2,843241692;158,8400726;217,4164581;45;0,040711109;0,7204445;0,18497777;0,0196;0,034400001;90,55555725;188,254879;0,074681905;20,96161905;2,034666667;0,07803;40,86866667;158,4987143
Amont;5,2676;34524,7;75,84200287;moyen;massif_armoricain;0,9998215;3,056686;6,3735986;135,9107666;39,78249741;1147,398315;1444,292358;265,7600098;0,014938288;0,40979448;0,548216403;0,01227047;0,014938289;51,02724075;230,2625351;0,109721429;41,02857143;1,996666667;0,064901905;49,59;287,34
